Country,Year,mortality
Germany,2005,3.8
Germany,2006,5.5
Germany,2007,3.8
Germany,2008,5.1
Germany,2009,5.1
Germany,2010,5.2
Germany,2011,4.7
Germany,2012,4.6
Germany,2013,4.1
Germany,2014,4.1
Germany,2015,3.3
Germany,2016,2.9
Germany,2017,2.8
Germany,2018,3.2
Germany,2019,3.2
United Kingdom,2005,5.7
United Kingdom,2006,7.2
United Kingdom,2007,7.1
United Kingdom,2008,6.9
United Kingdom,2009,8
United Kingdom,2010,5
United Kingdom,2011,6.6
United Kingdom,2012,6.4
United Kingdom,2013,6.4
United Kingdom,2014,6.7
United Kingdom,2015,4.5
United Kingdom,2016,6.6
United Kingdom,2017,6.5
